salary,type,link,job_name
年収270万円〜550万円,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466251&hid=acdbbce84a5b9f1ea6788d7def566a7814c8e753b5d58d07067784b08eeb923d&tm=1592135779507,Webサービスにおけるインフラエンジニアのテックリード（リーダー）
"年収500万円〜1,000万円",正社員,https://c.stanby.com/v2/adpage?id=1478352822807355392&hid=90a7845ab6b07e4395096ea4393f4dccce09a9528ac9a6ae5e80b01069a33727&tm=1592135779424,【エンジニア】ソフトウェアエンジニア（クラウド電子カルテ担当※Ruby、Scala、React）
年収450万円〜,正社員,https://c.stanby.com/v2/adpage?id=1478352822807355393&hid=4fe6b008997e2a2922f65fa7b392d1014c498ccc9bebeba795f4bc28a7a54227&tm=1592135779424,アプリケーションエンジニア/自社サービス/Scalaによる大規模Web開発
非掲載,正社員,https://c.stanby.com/v2/adpage?id=1478352822807355394&hid=54017809c614632d3d37756d2b0e02439634a7cfd31946113b6a6949f2ad6e3a&tm=1592135779424,ゲームプログラマ・エンジニア/急募案件/世の中を驚かせ喜ばせ楽しませるサービス
港区,非掲載,https://c.stanby.com/v2/adpage?id=1478352822807355395&hid=d82f4b0889a56dbe30ecaf9c706cec6397aed767e7b67275829c307b59224db5&tm=1592135779424,業務委託大手不動産サービスWEBシステム開発月給～60万円
年収700万円〜900万円,正社員,https://c.stanby.com/v2/adpage?id=1478352822807355396&hid=48087308ee7b5ae79372733cddf499e9f1e77373a463d9d1bb82906fd0b7c49d&tm=1592135779424,新組織立ち上げに伴うエンジニア（サーバーサイド／リーダー）
年収270万円〜550万円,正社員,https://c.stanby.com/v2/adpage?id=1478352822807355397&hid=85372f20add699f98248e91a0f2caaecaede0fe35bcf7161d365f2bac41bbbcc&tm=1592135779424,《神保町駅》SE【今までの経験を存分に活かせる環境年間休日120日以上社内イベント充実決算賞与あり】｜プログラマ(オープンWEB系)
"時給3,400円〜",派遣社員,https://job.yahoo.co.jp/jobs/detail/9405d73df7d23c7e929d9df69806248d3ebfb58c1e812ca628387734a7a419b4?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,"【渋谷！3,400円】Scalaでの人事系クラウドサービス開発IT・CAD・クリエイティブ／SE・プログラマー"
年収500万円〜,正社員,https://job.yahoo.co.jp/company/1000000434/jobs/b3be6d4b757d4d5f5112262eb81c57486c19ba22c302da333b24c4570b8f109d?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,"ンジニア(その他)【エンジニア】ソフトウェアエンジニア（クラウド電子カルテ担当Ruby,Scala,React）"
"時給3,400円〜",派遣社員,https://job.yahoo.co.jp/jobs/detail/2e59d8b430877a2a354993c29b8da68a6e34c8c8007c7ef23710e8eed660e625?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,"【渋谷！3,400円】Scalaでの人事系クラウドサービス開発｜SE・プログラマ（オープン系）"
年収400万円〜600万円,正社員,https://job.yahoo.co.jp/jobs/detail/6b4d7d62d65159c44e07e21cad0996de232052d285405869cf62678828fbcd76?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,
年収650万円〜850万円,正社員,https://job.yahoo.co.jp/jobs/detail/c7c6381398719bb32bab98c2502623d205d19fc173463c66e8eec926df256a4b?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,エンジニア
年収350万円〜500万円,非掲載,https://job.yahoo.co.jp/jobs/detail/b9fe34f323fa7e0a1b5549966b5ec1a9ff77b613ee05d96512dc2df8c7420b55?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,東京or京都／サービスリードエンジニア
